Farm_name,City,State,Last_updated,Association_memberships,farm_count,Naturally_grown,GAP_cert,Cert_organic,Cert_natgrown,IPM,ROP_cert,Demeter_cert,animal_welfare,grass_fed,conventional,transitional,kosher,halaal
Four Corners Farm,Rocky Mount,Virginia,2/28/2015,"
Virginia Association for Biological Farming (VABF)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Four Fields Farm,Blue Hill,Maine,7/30/2010,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Four Frog Farm,Penn Valley,California,1/21/2011,"
California Certified Organic Farmers (CCOF)
",1,0,0,1,0,0,0,0,0,0,0,0,0,0
Four Goats Farm,delta,Ontario,5/12/2021,,1,1,0,1,0,0,0,0,0,1,0,0,0,0
Four Hills Farm,Salvisa,Kentucky,6/19/2013,"
Southern SAWG (SSAWG)
Slow Food USA ()
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Four Little Hens Egg Company,Prescott,Arizona,3/4/2013,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Four Mile Grassfed Beef & Lamb,Ball Ground,Georgia,11/28/2011,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Four Mile River Farm,Old Lyme,Connecticut,2/19/2005,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Four Oak Farm,Santa Rosa,California,10/4/2021,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Four Palms Ranch,Fallbrook,California,11/8/2020,"
California Certified Organic Farmers (CCOF)
Community Alliance with Family Farmers (CAFF)
",1,1,0,0,0,1,0,0,0,0,0,1,0,0
Four Pillars Farm,Whiting,Vermont,2/27/2014,"
Northeast Organic Farming Association (NOFA)
",1,0,0,1,0,0,0,0,0,0,0,0,0,0
Four Season Farm,Ashland,Virginia,2/4/2012,"
Virginia Association for Biological Farming (VABF)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Four Seasons Farm,Foresthill,California,1/1/2014,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Four Seasons Farm,Priest River,Idaho,3/27/2018,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Four Seasons Green,Richmond,Virginia,8/28/2013,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Four Sisters Farm,Aromas,California,6/3/2016,"
California Certified Organic Farmers (CCOF)
Community Alliance with Family Farmers (CAFF)
",1,0,0,1,0,0,0,0,0,0,0,0,0,0
Four Sisters Organic Farm,Cherry Valley,Illinois,11/17/2018,,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Four Springs Farm,Royalton,Vermont,5/13/2016,"
Northeast Organic Farming Association (NOFA)
",1,1,0,1,0,0,0,0,0,1,0,0,0,0
Four String Farm,Rockport,Texas,3/13/2013,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Four Town Lowlines LLC,Danville,Vermont,9/15/2021,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Four Winds,FALSE PASS,Alaska,9/21/2015,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Four Winds Farm,Perrysville,Ohio,6/17/2009,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Four Winds Farm,Gardiner,New York,11/1/2013,"
Northeast Organic Farming Association (NOFA)
",1,0,0,1,0,0,0,0,0,1,0,0,0,0
Four Winds Farm,Dexter,Oregon,8/9/2012,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Four Winds Farm,River Falls,Wisconsin,10/3/2007,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Four Winds Ranch,Telephone,Texas,12/6/2021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fourth Wright Farm,Johnson CIty,New York,7/23/2012,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fowl Play Pastured Poultry,Cadiz,Kentucky,8/21/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fowl Territory Farm,Temple,New Hampshire,9/29/2014,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fowler Family Farm,Grass Valley,California,9/26/2014,"
American Pastured Poultry Producers (APPPA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fowler Farms Fresh Produce,Tabor City,North Carolina,10/30/2015,,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"Fowler Nurseries, Inc.",Newcastle,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fox   Creek  Farm,Fruitport,Michigan,1/24/2009,,1,1,0,0,0,0,0,0,0,1,0,0,0,1
Fox Briar Farm,Salisbury,Maryland,4/24/2017,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Fox Creek Farm,Gallupville,New York,9/24/2021,"
Northeast Organic Farming Association (NOFA)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fox Falls Farm,New Lisbon,New York,1/9/2014,"
Northeast Organic Farming Association (NOFA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fox Family Farm,Bethlehem Twp.,Ohio,1/6/2018,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fox Family Farms,Danville,Illinois,2/22/2019,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Fox Farm,Ledyard,Connecticut,5/15/2015,,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Fox Farm Texas,Shepherd,Texas,5/11/2016,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"Fox Grove, LLC",Circleville,Ohio,5/11/2008,,1,1,0,0,0,0,0,0,0,1,0,1,0,0
Fox Hill Alpaca Farm,Waltham,Maine,9/10/2013,,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Fox Hill Farm Grass Fed Beef,Roseburg,Oregon,8/15/2020,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fox Holler Farmstead,Rutledge,Missouri,3/25/2022,"
Practical Farmers of Iowa (PFI)
American Pastured Poultry Producers (APPPA)
",1,0,0,0,0,0,0,0,0,1,0,0,0,0
Fox Hollow Farm,Wimauma,Florida,1/7/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fox Hollow Farm,Wimauma,Florida,4/9/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fox Hollow Farm,Gaithersburg,Maryland,5/23/2019,"
American Pastured Poultry Producers (APPPA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fox Hollow Farm,Urbana,Illinois,3/5/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fox Hollow Farm,Fredericktown,Ohio,3/21/2013,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"Fox Hollow Farm, Inc.",South Huntington,New York,3/25/2017,"
Northeast Organic Farming Association (NOFA)
Slow Food USA ()
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fox Hollow Vineyard,Sneads,Florida,5/8/2019,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fox Run Farm,Monticello,Illinois,3/6/2015,,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Fox Trail Farm,Albion,IN,2/14/2018,"
Certified Naturally Grown (CNG)
",1,0,0,0,1,1,0,0,0,0,0,0,0,0
Fox and Bear Urban Farm,Portland,Oregon,10/19/2015,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Fox's Cranberries,Weekstown,New Jersey,4/14/2011,,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Fox-Murray Farm,Middletown,Delaware,1/6/2014,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FoxWood Run Farm,York,Pennsylvania,1/29/2018,,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Foxdog Farm,Kingston,Washington,3/26/2014,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Foxfire Holler  Farm,Warrensville,North Carolina,2/13/2013,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Foxglove Farm Olympia,Olympia,Washington,10/7/2015,,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Foxglove Farms,Hortonville,Wisconsin,3/12/2014,,1,1,0,0,1,1,0,0,0,0,1,0,0,0
Foxglove Flower Farm,Bozeman,Montana,11/9/2020,"
Certified Naturally Grown (CNG)
",1,1,0,0,1,1,0,0,0,0,0,0,0,0
Foxhall Ridge Farm,Holmdel,New Jersey,6/26/2013,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Foxhole Farm,Brookville,Ohio,5/13/2019,,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Foxhollow Farm,Crestwood,Kentucky,4/22/2015,"
Slow Food USA ()
",1,1,0,0,1,1,1,0,0,1,0,0,0,0
Foxloft Farm,Kasson,Minnesota,3/22/2016,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Foxtail Community Farm,Greenville,New York,10/2/2017,"
Northeast Organic Farming Association (NOFA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Foxtail Farmstead LLC,Bedford,Pennsylvania,4/10/2014,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Foxtrot Bee & Berry Farm,Huntington,New York,2/12/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Foxtrot Bee & Berry Farms,Huntington,New York,2/12/2013,,1,1,0,0,0,1,0,0,0,0,1,0,0,0
Foxwhelp Farms,Healdsburg,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fragrance of Freedom Farm,Franklinville,New York,6/14/2021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fran's Original Farm Stand,Escondido,California,11/15/2016,,1,1,0,0,0,0,0,0,0,0,1,0,0,0
France Ranch,Porterville,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Francesca's Terra Verde Farm Club,Jupiter,Florida,3/14/2014,"
Slow Food USA ()
",1,1,0,1,0,0,0,0,0,0,0,0,0,0
Franchesca's Dawn Farm,Halifax,Virginia,9/6/2019,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Francis Farm,Maybee,Michigan,3/29/2018,,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Francis Farms,Simpsonville,South Carolina,6/26/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Franciscan Family Farms,Chaffee,Missouri,4/1/2014,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Franciscan Farmer,Trenton,Tennessee,1/29/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Community Farm,Richmond,Virginia,4/3/2020,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Frank's Garden,Lake Park,Minnesota,11/15/2012,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Franklin Farm,Esparta,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frannie Farms, Inc.",Pauma Valley,California,7/3/2015,,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Frantzen's Scenic Acres,Knox,New York,2/27/2012,"
Northeast Organic Farming Association (NOFA)
",1,1,0,0,1,0,0,0,0,1,0,0,0,0
Franzen Farms,Wilmington,Illinois,3/27/2013,"
Slow Food USA ()
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Frayed Shoestring Farm,Greenville,Michigan,6/19/2021,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Frayer Farms,Beloit,Wisconsin,4/7/2021,"
Buy Fresh, Buy Local ()
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fraylick Farm,Travelers Rest,South Carolina,3/30/2020,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frazier Lane Organics,Covelo,California,8/9/2016,"
Community Alliance with Family Farmers (CAFF)
Slow Food USA ()
",1,1,0,0,0,0,0,0,0,1,0,1,0,0
Freckle Face Farm,perryville,Kentucky,3/13/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred H. Miller Farm,Scobey,Montana,1/9/2018,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred Munch Farming With Buttonwood Farms,Solvang,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred's Pastured Poultry,Polk City,Florida,3/26/2015,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddy Guys Filberts,Monmouth,Oregon,6/11/2014,"
Chefs Collaborative ()
Slow Food USA ()
",1,1,0,0,0,1,0,0,0,0,0,0,1,0
Fredericksburg Area CSA Project (FACSAP),Fredericksburg,Virginia,11/4/2019,"
Certified Naturally Grown (CNG)
",1,1,0,1,1,0,1,0,0,0,0,0,0,0
Fredivell Farm,Pueblo West,Colorado,7/22/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Bird Farm,Palatine Bridge,New York,4/22/2013,"
Northeast Organic Farming Association (NOFA)
",1,0,0,1,0,0,0,0,0,1,0,0,0,0
Free Earth Farm,Sandstone,West Virginia,10/17/2015,,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Free Flow Farm,Herkimer,New York,7/29/2021,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Free Folk Pastures,Conover,North Carolina,1/6/2022,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Free Hand Farm,Placerville,California,1/19/2016,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Free Hand Farm,Oregon City,Oregon,2/22/2018,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Happy Farm,Volga,South Dakota,12/12/2014,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Haven Farms,Lawnside,New Jersey,4/11/2018,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Free Radical Ranch,Morning View,Kentucky,3/28/2018,,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Free Range Eggs,Purcellville,Virginia,4/9/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Range Flowers,Bellingham,Washington,7/3/2017,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Free Rangers Farm,Citra,Florida,3/26/2014,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Free Reign Farm Goat Milk Soap,Elizabethton,Tennessee,1/28/2019,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Free Season Farm,Potterville,Michigan,9/28/2013,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Free Soil Farm,Geneseo,New York,4/8/2012,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Free Spirit Farm,Winters,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Verse Farm & Apothecary,Chelsea,Vermont,4/2/2020,"
Northeast Organic Farming Association (NOFA)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Free horse compost,Alpharetta,Georgia,7/31/2018,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Freebird Farm & Homestead,Walton,Indiana,2/21/2015,,1,1,0,0,0,1,0,0,0,1,0,0,1,1
Freebird Farms LLC,Winter Park,Florida,2/19/2021,,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Freed Family Farm,Okeene,Oklahoma,5/17/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Freedom Acres Farm,Durant,Oklahoma,5/11/2020,,1,1,0,1,0,0,0,0,0,1,0,0,0,0
Freedom Farm,Royston,Georgia,7/18/2012,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Freedom Farm,Jackson,Tennessee,5/17/2012,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Freedom Farm,Houlton,Wisconsin,1/17/2013,"
Land Stewardship Project (LSP)
Wisconsin Farmers Union ()
Slow Food USA ()
National Farm To School Network (FTS)
",1,1,0,0,0,1,0,0,0,1,0,0,0,0
Freedom Farm Soap,Maiden,North Carolina,2/25/2016,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Freedom Farms,Chatsworth,Georgia,9/12/2013,"
Land Stewardship Project (LSP)
Southern SAWG (SSAWG)
National Farm To School Network (FTS)
",1,0,0,0,0,1,0,0,0,0,0,0,0,0
Freedom Fields Farm,Langley,British Columbia,6/11/2012,,1,1,0,0,0,1,0,0,0,1,0,0,0,1
Freedom Food Farm,Raynham,Massachusetts,3/14/2017,"
Northeast Organic Farming Association (NOFA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Freedom Rains Farm,Pulaski,New York,1/29/2019,"
Northeast Organic Farming Association (NOFA)
",1,0,0,1,0,0,0,0,0,1,0,0,0,0
Freedom Range Farm,Barron,Wisconsin,5/21/2018,,1,1,0,1,0,0,0,0,0,1,0,0,0,0
Freedom Run Farm,Smithfield,Kentucky,10/20/2012,,1,1,0,1,0,0,0,0,0,1,0,0,0,0
Freedom Run Farm,manchester,Michigan,6/20/2015,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Freedom Valley Farm,Freedom,Indiana,9/15/2019,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Freedom Valley Farm,White Hall,Maryland,1/22/2018,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Freedom's Farm,Golden Valley,Arizona,7/30/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Freeheart Farm,Esparto,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Freeman Farms Produce,Johns Island,South Carolina,4/27/2012,"
Certified Naturally Grown (CNG)
",1,0,0,0,1,0,0,0,0,0,0,0,0,0
Freeman's,Loomis,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Freestone Ranch,Valley Ford,California,9/9/2010,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Freeway Farm,Lakewood,Washington,5/26/2017,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Freewheel Farm,Atlanta,Georgia,11/21/2018,"
Certified Naturally Grown (CNG)
Southern SAWG (SSAWG)
Slow Food USA ()
Georgia Organics ()
",1,1,0,0,1,1,0,0,0,0,0,0,0,0
Freewheelin' Farm,Santa Cruz,California,2/23/2012,"
Community Alliance with Family Farmers (CAFF)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Freidenhiem Farm,Bonnieville,Kentucky,9/18/2013,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Freitas Ranch,Brentwood,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frelsi Farm Icelandics,Limerick,Maine,2/22/2015,"
Slow Food USA ()
American Pastured Poultry Producers (APPPA)
",1,1,0,0,0,1,0,0,0,1,0,0,0,0
French Label Rouge Freedom Ranger Poultry,East Aurora,New York,11/7/2014,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
French Prairie Gardens,St. Paul,Oregon,2/24/2015,,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FrenchFields LLC,Waddy,Kentucky,8/13/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresca Homestead,Milltown,Indiana,3/16/2014,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Aire Farms,Union City,Ohio,1/18/2021,"
Ohio Ecological Food and Farm Association (OEFFA)
",1,1,0,1,0,0,0,0,0,1,0,0,0,0
Fresh CSA,Brierfield,Alabama,11/23/2016,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Chicken Eggs,Lavon,Texas,4/2/2015,,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Fresh Earth Farms,Afton,Minnesota,2/24/2018,"
Land Stewardship Project (LSP)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Eggs,Cartersville,Georgia,3/3/2015,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Fresh Eggs From Happy Chickens : heritage meat, free range",Ransomville,New York,8/28/2013,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fresh Eggs from Happy Chickens,Ransomville,New York,9/12/2019,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Fresh For Life Organics,Richford,Wisconsin,7/30/2019,,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Fresh From The Farm,Blue Mountain,Mississippi,2/11/2013,"
Southern SAWG (SSAWG)
Slow Food USA ()
",1,1,0,0,0,0,0,0,0,0,1,0,0,0
Fresh From The Vines,Meadville,Pennsylvania,12/17/2012,"
Pasa Sustainable Agriculture ()
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Green Organic Garden,Klamath Falls,Oregon,6/12/2017,,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Fresh Greens Daily,Orange,Connecticut,11/7/2017,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Fresh Haus Farming,Ankeny,Iowa,11/18/2011,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fresh Idea Meat and Produce,Chesaning,Michigan,10/7/2012,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fresh Local Turkey,Glen Mills,Pennsylvania,10/21/2014,,1,0,0,0,0,1,0,0,1,1,0,0,0,0
Fresh Maine Scallops,Orland,Maine,12/2/2013,,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Fresh Picked Home Grown,Banning,California,3/9/2013,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Pickings Family Farm,Shelby,Michigan,4/14/2014,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fresh Start Family Farms,Calhan,Colorado,1/19/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Start Farm,New Vienna,Ohio,3/19/2014,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fresh Start Farms,Lisbon,Maine,4/22/2021,"
Maine Organic Farmers and Gardeners Association (MOFGA)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Start Farms,Bend/Alfalfa,Oregon,2/8/2013,,1,1,0,0,0,0,0,0,0,1,0,1,0,0
Fresh Start Growers Supply,Louisville,Kentucky,7/28/2017,"
Southern SAWG (SSAWG)
Slow Food USA ()
",1,1,0,1,0,1,0,0,0,0,0,0,0,0
Fresh Starts Farm,Mora,Minnesota,2/14/2018,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Fresh To You Produce & Garden Center,Stayton,Oregon,1/24/2014,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Tracks game and [oultry,West Haven,Vermont,2/23/2012,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Value Farms,San juan bautista,California,7/6/2019,,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Fresh View Farm,Charlotte,Vermont,9/8/2012,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fresh Water Fruits, llc",Sheboygan,Wisconsin,8/22/2013,,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Fresh Whole Rabbit,Lakeview,Michigan,11/19/2013,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fresh eggs crown point,Crown Point,Indiana,6/6/2017,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FreshFarms,Redgranite,Wisconsin,1/21/2014,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Freshmicrogreens.com,Rexburg,Idaho,7/16/2018,"
Slow Food USA ()
National Farm To School Network (FTS)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Freshwater Farms of Ohio, Inc.",Urbana,Ohio,2/29/2012,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Frey Vineyards,Redwood Valley,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Freya's Garden,Fieldbrook,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frianeza Farmstead,Bellingham,Washington,2/9/2015,,1,1,0,0,1,0,0,0,0,1,0,0,0,0
Fricks Apiaries,Chapel Hill,North Carolina,4/13/2022,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fridley Creek Farm,Emigrant,Montana,1/22/2013,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Friend's Ranches,Ojai,California,10/24/2017,"
Community Alliance with Family Farmers (CAFF)
Slow Food USA ()
National Farm To School Network (FTS)
",1,1,0,0,0,1,0,0,0,0,1,0,0,0
Friendly Meadows,Millersburg,Ohio,7/30/2017,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Friendly Pastures,ELGIN,Texas,2/8/2014,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Friends Farm,Lake City,Michigan,2/19/2018,"
Michigan Agricultural Environmental Assurance Program (MAEAP)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Friends in the Country,Pawcatuck,Connecticut,2/26/2014,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Friends' Ranches,Ojai,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Friendsheep Farm,New MIilford,Connecticut,8/5/2013,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Friendship Farms,Latrobe,Pennsylvania,3/20/2008,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Friendship Farms,Waterville,Ohio,1/5/2017,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Friendship Farms & Fare,New Port Richey,Florida,7/18/2014,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Friendship Ranch Seasonal Produce,Devore,California,9/14/2021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frijolito Farm,Columbus,Ohio,7/9/2015,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Frillman Farms LLC,Prairie View,Illinois,2/26/2014,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Frinklepod Farm,Arundel,Maine,2/12/2015,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Frisk Farms,Canby,Oregon,5/1/2022,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Frisson Farm,Rosalia,Washington,8/31/2021,"
Farmer Veteran Coalition (FVC)
",1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frith Farm,Scarborough,Maine,9/17/2020,"
Maine Organic Farmers and Gardeners Association (MOFGA)
",1,0,0,1,0,0,0,0,0,0,0,0,0,0
Fritz Durst Farming,Woodland,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frog Belly Farm,Longmont,Colorado,2/20/2013,,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Frog Chorus Farm,Snohomish,Washington,11/2/2011,"
Tilth Alliance ()
",1,0,0,0,0,1,0,0,0,1,0,1,0,0
Frog Hollar Farms,Mentor,Ohio,3/19/2021,"
Ohio Ecological Food and Farm Association (OEFFA)
",1,1,0,0,0,1,0,0,0,0,0,1,0,0
Frog Hollow Farms,Hubbardton,Vermont,9/21/2020,"
The Livestock Conservancy ()
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Frog Meadow Farm,Canby,Oregon,1/10/2013,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Frog Pond Farm,West End,North Carolina,7/13/2016,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Frog Song Organics,Hawthorne,Florida,8/1/2019,"
Slow Food USA ()
Organic Crop Improvement Association (OCIA)
",1,1,0,1,0,0,0,0,0,1,0,0,0,0
Frog's Leap,Rutherford,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FrogHoller Farm,Morriston,Florida,1/29/2012,,1,1,0,0,0,0,0,0,0,0,1,1,0,0
Froggy Meadow farm,Beloit,Wisconsin,1/4/2016,,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Frogholler Lavender Farm,Madison,North Carolina,7/7/2018,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frogtown Urban Herb Farm,LOS ANGELES,California,7/6/2019,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Frolona Farm,Franklin,Georgia,6/29/2012,"
Certified Naturally Grown (CNG)
",1,0,0,0,1,1,0,0,0,1,0,0,0,0
From Scratch Farm,Southold,New York,10/24/2014,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
From Scratch Farm,Ruth,Michigan,4/16/2019,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
From Sheep To Ewe,Mathias,West Virginia,5/5/2009,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
